Start Date	Start Time	End Date	End Time	Time Zone
06/13/2007	09:00:00	06/15/2007	17:00:00	MST
06/13/2012	02:00:00	06/15/2012	10:00:00	GMT
06/14/2004	09:00:00	06/16/2004	17:00:00	MST
06/17/2012	19:00:00	06/21/2012	01:00:00	SST
06/18/2007	09:00:00	06/20/2007	17:00:00	MST
06/18/2013	02:00:00	06/21/2013	09:00:00	GMT
06/20/2011	19:00:00	06/24/2011	03:00:00	SST
06/20/2012	02:00:00	06/22/2012	10:00:00	GMT
06/20/2012	07:00:00	06/22/2012	15:00:00	EST
06/22/2011	06:30:00	06/22/2011	10:00:00	EST
06/25/2012	02:00:00	06/27/2012	10:00:00	GMT
06/25/2012	07:00:00	06/27/2012	15:00:00	EST
06/25/2012	19:00:00	06/28/2012	03:00:00	SST
06/26/2006	09:00:00	06/28/2006	17:00:00	MST
06/26/2007	09:00:00	06/29/2007	17:00:00	MST
06/26/2007	09:00:00	06/29/2007	17:00:00	MST
06/26/2013	06:30:00	06/28/2013	14:30:00	EST
06/27/2011	07:00:00	06/30/2011	15:00:00	EST
06/27/2011	19:00:00	07/01/2011	03:00:00	SST
06/28/2010	02:00:00	07/02/2010	09:00:00	GMT
07/03/2007	09:00:00	07/06/2007	17:00:00	MST
07/05/2004	09:00:00	07/07/2004	17:00:00	MST
07/07/2013	19:00:00	07/11/2013	02:00:00	SST
07/08/2013	06:30:00	07/11/2013	14:30:00	EST
07/10/2012	19:00:00	07/13/2012	03:00:00	SST
07/11/2012	07:00:00	07/13/2012	15:00:00	EST
07/12/2010	02:00:00	07/15/2010	09:00:00	GMT
07/12/2011	02:00:00	07/15/2011	10:00:00	GMT
07/14/2003	09:00:00	07/18/2003	17:00:00	MST
07/15/2013	02:00:00	07/19/2013	08:00:00	GMT
07/16/2013	02:00:00	07/19/2013	09:00:00	GMT
07/17/2011	23:00:00	07/21/2011	07:00:00	AST
07/18/2012	07:00:00	07/20/2012	15:00:00	EST
07/19/2004	09:00:00	07/23/2004	17:00:00	MST
07/19/2011	02:00:00	07/22/2011	10:00:00	GMT
07/20/2010	09:00:00	07/23/2010	17:00:00	MST
07/21/2003	09:00:00	07/25/2003	17:00:00	MST
07/21/2008	09:00:00	07/25/2008	17:00:00	MST
07/21/2013	19:00:00	07/25/2013	02:00:00	SST
07/23/2012	19:00:00	07/27/2012	03:00:00	SST
07/23/2013	01:45:00	07/26/2013	08:30:00	GMT
07/24/2007	09:00:00	07/27/2007	17:00:00	MST
07/24/2012	02:00:00	07/27/2012	10:00:00	GMT
07/25/2012	07:00:00	07/27/2012	15:00:00	EST
07/27/2010	09:00:00	07/30/2010	17:00:00	MST
07/29/2013	06:30:00	08/01/2013	14:30:00	EST
07/30/2012	19:00:00	08/03/2012	03:00:00	SST
08/02/2004	09:00:00	08/04/2004	17:00:00	MST
08/05/2009	09:00:00	08/07/2009	17:00:00	MST
08/05/2013	10:00:00	08/05/2013	18:00:00	PST
08/07/2007	09:00:00	08/10/2007	17:00:00	MST
08/09/2011	02:00:00	08/12/2011	10:00:00	GMT
08/11/2013	19:00:00	08/16/2013	01:00:00	SST
08/14/2012	02:00:00	08/17/2012	10:00:00	GMT
08/15/2012	07:00:00	08/17/2012	12:30:00	EST
08/16/2004	09:00:00	08/20/2004	17:00:00	MST
08/16/2011	02:00:00	08/19/2011	09:00:00	GMT
08/16/2011	02:00:00	08/19/2011	10:00:00	GMT
08/17/2009	09:00:00	08/21/2009	17:00:00	MST
08/18/2003	09:00:00	08/22/2003	17:00:00	MST
08/19/2013	06:30:00	08/23/2013	14:30:00	EST
08/20/2007	09:00:00	08/23/2007	17:00:00	MST
